Time,PredictedVehicles
0.0,2.0
0.15151515151515152,0.05050505050505084
0.30303030303030304,0.10101010101010158
0.4545454545454546,0.15151515151515263
0.6060606060606061,0.3030303030303047
0.7575757575757576,0.7474747474747478
0.9090909090909092,0.0
1.0606060606060606,2.0
1.2121212121212122,2.0
1.3636363636363638,1.0
1.5151515151515151,1.0
1.6666666666666667,0.0
1.8181818181818183,0.0
1.9696969696969697,0.0
2.121212121212121,0.0
2.272727272727273,0.0
2.4242424242424243,2.0
2.5757575757575757,0.16969696969697434
2.7272727272727275,0.0
2.878787878787879,0.0
3.0303030303030303,0.007575757575761782
3.181818181818182,0.0
3.3333333333333335,4.0
3.484848484848485,4.0
3.6363636363636367,2.0
3.787878787878788,2.0
3.9393939393939394,0.0
4.090909090909091,0.0
4.242424242424242,0.0
4.3939393939393945,0.0
4.545454545454546,0.0
4.696969696969697,2.0
4.848484848484849,0.9696969696969794
5.0,1.0
5.151515151515151,3.0
5.303030303030303,3.0
5.454545454545455,2.0
5.606060606060606,10.0
5.757575757575758,10.0
5.909090909090909,6.0
6.0606060606060606,5.292929292929291
6.212121212121212,4.0
6.363636363636364,13.0
6.515151515151516,13.0
6.666666666666667,17.93333333333334
6.818181818181818,17.954545454545453
6.96969696969697,25.0
7.121212121212121,30.0
7.272727272727273,30.0
7.424242424242425,31.0
7.575757575757576,29.656565656565608
7.7272727272727275,24.0
7.878787878787879,36.75757575757579
8.030303030303031,36.96969696969682
8.181818181818182,39.99999999999973
8.333333333333334,34.666666666666785
8.484848484848484,34.96969696969682
8.636363636363637,40.45454545454558
8.787878787878789,39.848484848484375
8.93939393939394,46.348484848484986
9.090909090909092,38.5454545454546
9.242424242424242,37.86363636363631
9.393939393939394,31.5151515151515
9.545454545454545,30.36363636363663
9.696969696969697,33.0
9.84848484848485,36.0
10.0,36.0
10.151515151515152,24.0
10.303030303030303,29.181818181818144
10.454545454545455,32.0
10.606060606060606,28.0
10.757575757575758,28.0
10.90909090909091,23.636363636363516
11.06060606060606,19.651515151515017
11.212121212121213,28.0
11.363636363636363,20.1590909090909
11.515151515151516,21.96969696969682
11.666666666666668,20.66666666666643
11.818181818181818,20.2727272727273
11.96969696969697,21.181818181818002
12.121212121212121,19.84848484848519
12.272727272727273,20.9090909090917
12.424242424242424,27.848484848484805
12.575757575757576,22.96969696969682
12.727272727272728,18.63636363636396
12.878787878787879,15.606060606060847
13.030303030303031,15.075757575757946
13.181818181818182,21.363636363636306
13.333333333333334,21.08333333333335
13.484848484848484,26.0
13.636363636363637,22.0
13.787878787878789,22.0
13.93939393939394,22.227272727272968
14.090909090909092,20.454545454545407
14.242424242424242,20.378787878787897
14.393939393939394,20.363636363636395
14.545454545454547,18.181818181818535
14.696969696969697,21.151515151515106
14.84848484848485,23.151515151515017
15.0,26.0
